,Unnamed: 0,ticker,compName,volume,CRTG_Strat
0,0,HR,Healthcare Realty Trust Incorporated Common Stock,1340309.6385542168,"[-4.997495651245117, 40961.00509548187, -1.0001220061773288]"
1,0,LPCN,Lipocine Inc.,1342083.1325301204,"[-4.45700016617775, 7206.538228780031, -1.000618466179556]"
2,0,PRGO,Perrigo,1342144.5783132531,"[50.73127365112305, 40281.30325126648, -0.9987405751662335]"
3,0,DRRX,DURECT Corporation,1343609.6385542168,"[-2.9737528562545776, 9052.62521314621, -1.0003284961860495]"
4,0,TTMI,"TTM Technologies, Inc.",1344704.8192771084,0
5,0,TIVO,TiVo Inc.,1347853.0120481928,0
6,0,WSM,Williams,1347945.78313253,"[23.503747940063477, 13999.535802841187, -0.9983211051944099]"
7,0,AWK,American Water Works Company Inc,1352034.9397590358,"[12.670011520385742, 9542.161338806152, -0.9986722073678571]"
8,0,WMC,Western Asset Mortgage Capital Corporation Common Stock,1353008.4337349394,0
9,0,TRN,"Trinity Industries, Inc. Common Stock",1355427.7108433736,0
